id,place,magnitude,time,latitude,longitude,depth
nn00874967,"56 km SW of Rachel, Nevada",0.2,2024-03-18 08:41:08.139,37.2553,-116.1617,6.4
ci40688784,"23 km N of Borrego Springs, CA",0.83,2024-03-18 08:40:09.700,33.4648333,-116.4046667,5.61
ci40688776,"23 km N of Borrego Springs, CA",0.85,2024-03-18 08:40:06.670,33.4595,-116.401,10.24
hv74140337,"2 km NNE of Fern Forest, Hawaii",1.87,2024-03-18 08:36:56.030,19.4818333333333,-155.126833333333,12.65
ak0243l4vgdw,"40 km SW of Covenant Life, Alaska",1.9,2024-03-18 08:32:27.407,59.1496,-136.499,0.0
nn00874966,"57 km SW of Rachel, Nevada",0.2,2024-03-18 08:29:49.314,37.2529,-116.1658,5.5
nn00874958,"57 km SW of Rachel, Nevada",0.2,2024-03-18 08:27:22.886,37.254,-116.1647,5.7
nn00874949,"46 km ESE of Beatty, Nevada",-0.1,2024-03-18 08:25:49.922,36.7492,-116.2822,9.3
nn00874978,"46 km ESE of Beatty, Nevada",-0.2,2024-03-18 08:23:38.203,36.7534,-116.2756,8.9
ci40688768,"24 km ESE of Julian, CA",1.68,2024-03-18 08:21:23.240,33.0026667,-116.3616667,10.81
nn00874977,"46 km ESE of Beatty, Nevada",-0.4,2024-03-18 08:15:33.080,36.7527,-116.2795,9.2
us6000mjjw,West Chile Rise,4.5,2024-03-18 08:15:00.976,-40.8024,-89.8627,10.0
pr71443233,"5 km SW of La Parguera, Puerto Rico",2.59,2024-03-18 08:10:29.410,17.937,-67.0841666666667,12.03
ci40688752,"12 km SW of Searles Valley, CA",0.73,2024-03-18 08:08:52.410,35.6936667,-117.4966667,9.5
nn00874947,"46 km ESE of Beatty, Nevada",0.8,2024-03-18 08:05:46.019,36.7505,-116.2794,9.2
ak0243l4posp,"37 km SE of King Salmon, Alaska",1.5,2024-03-18 08:05:37.057,58.481,-156.1554,177.1
nn00874957,"56 km SW of Rachel, Nevada",0.1,2024-03-18 08:05:22.598,37.2584,-116.1676,5.6
nc74019231,"8 km WNW of Cobb, CA",1.21,2024-03-18 08:03:26.470,38.8396683,-122.8089981,1.98
nn00874976,"46 km ESE of Beatty, Nevada",-0.3,2024-03-18 08:03:20.992,36.7497,-116.2788,9.1
nn00874986,"11 km ENE of Spanish Springs, Nevada",-0.1,2024-03-18 08:01:29.037,39.6804,-119.5815,15.5
pr71443223,"6 km SW of La Parguera, Puerto Rico",2.55,2024-03-18 08:00:11.670,17.9306666666667,-67.0865,12.06
nn00874956,"57 km SW of Rachel, Nevada",0.3,2024-03-18 07:58:33.521,37.2588,-116.1736,5.4
nc74019226,"1 km E of The Geysers, CA",0.78,2024-03-18 07:58:16.670,38.776165,-122.7444992,1.56
nn00874946,"46 km ESE of Beatty, Nevada",0.3,2024-03-18 07:58:03.731,36.7473,-116.279,9.1
nn00874985,"57 km SW of Rachel, Nevada",0.5,2024-03-18 07:56:58.290,37.2547,-116.1776,4.5
nn00874945,"57 km SW of Rachel, Nevada",0.5,2024-03-18 07:56:44.639,37.2483,-116.1647,5.3
nn00874955,"56 km SW of Rachel, Nevada",-0.2,2024-03-18 07:52:01.665,37.2625,-116.1666,5.8
nc74019221,"6 km W of Cobb, CA",0.51,2024-03-18 07:51:00.680,38.8263321,-122.7979965,1.81
nc74019216,"10 km NW of The Geysers, CA",0.76,2024-03-18 07:44:21.470,38.8391685,-122.8379974,1.63
ak0243l4ccz7,"43 km SE of Denali National Park, Alaska",1.5,2024-03-18 07:43:18.598,63.2769,-151.0907,0.0
nn00874943,"46 km ESE of Beatty, Nevada",0.5,2024-03-18 07:29:28.126,36.7503,-116.2779,8.9
nn00874942,"46 km ESE of Beatty, Nevada",0.3,2024-03-18 07:23:37.043,36.7484,-116.2786,9.1
uw61990211,"12 km ENE of Sunnyslope, Washington",0.25,2024-03-18 07:23:26.510,47.536833333333334,-120.1935,12.41
nn00874941,"46 km ESE of Beatty, Nevada",0.0,2024-03-18 07:22:05.339,36.7523,-116.2761,8.8
nc74019211,"10 km NW of The Geysers, CA",0.32,2024-03-18 07:20:08.940,38.8388329,-122.8383331,1.88
nc74019201,"7 km W of Cobb, CA",1.08,2024-03-18 07:14:20.660,38.8300018,-122.803833,1.6
ak0243l453n6,"59 km SE of Egegik, Alaska",1.9,2024-03-18 07:09:31.709,57.8967,-156.5602,0.0
nc74019196,"1 km E of The Geysers, CA",1.52,2024-03-18 07:06:21.970,38.7788315,-122.7440033,-0.27
ak0243l448fn,"39 km W of Nanwalek, Alaska",1.9,2024-03-18 07:05:27.232,59.4085,-152.6166,67.8
pr71443218,"3 km S of Guánica, Puerto Rico",2.23,2024-03-18 07:04:21.720,17.9358333333333,-66.9068333333333,14.73
ak0243l434p8,"45 km SSW of Manley Hot Springs, Alaska",1.4,2024-03-18 07:00:12.281,64.6195,-150.949,11.0
ci40688744,"21 km WNW of Searles Valley, CA",1.71,2024-03-18 06:53:35.310,35.8065,-117.6301667,7.66
nn00874981,"44 km ENE of Fort Bidwell, California",1.9,2024-03-18 06:49:03.941,41.9974,-119.6479,0.0
us6000mjje,"57 km W of Paramonga, Peru",4.3,2024-03-18 06:45:53.934,-10.6081,-78.3559,44.935
ak0243l3pht2,"44 km WSW of Skwentna, Alaska",1.5,2024-03-18 06:36:50.300,61.8352,-152.1684,10.8
uw61990206,"5 km NW of Dash Point, Washington",1.33,2024-03-18 06:36:19.940,47.349333333333334,-122.48316666666666,20.08
nc74019186,"10 km NE of Morgan Hill, CA",0.93,2024-03-18 06:34:59.790,37.1826667,-121.559,6.33
nc74019181,"14 km ESE of Lake Pillsbury, CA",2.31,2024-03-18 06:30:23.020,39.3468323,-122.8106689,3.29
mb90043308,"22 km WNW of Stanley, Idaho",1.92,2024-03-18 06:20:24.280,44.3075,-115.189666666667,8.85
ci40688728,"18 km WSW of El Centro, CA",1.69,2024-03-18 06:12:05.580,32.6981667,-115.7203333,10.26
mb90043298,"16 km NNE of Stanley, Idaho",2.53,2024-03-18 06:10:17.730,44.3441666666667,-114.825166666667,8.45
nc74019176,"4 km W of Cobb, CA",1.49,2024-03-18 06:09:31.110,38.8216667,-122.7665024,1.7
ci40688720,"8 km SE of Valle Vista, CA",0.85,2024-03-18 06:06:16.230,33.7081667,-116.8258333,16.16
ak0243l3hqku,"27 km SW of Petersville, Alaska",1.8,2024-03-18 06:00:31.507,62.3575,-151.2164,80.8
ak0243l38w44,"129 km WNW of Arctic Village, Alaska",1.6,2024-03-18 05:59:04.204,68.7848,-148.1535,0.0
